id,parsed_jt,certification,llm_evaluation,llm_explanation,certification_names,jt-certification match,cluster,cluster_label,seniority
23158,Mental Health Professional,Master License,MATCH,"Mental Health Professionals often require a master's level license (e.g., LPC, LCSW, LMFT) to practice.",Master License,,7,Behavioral Health Specialists,Non-managerial
23175,Mental Health RN,CPR certification,MATCH,"CPR is a fundamental skill often required for Registered Nurses, including those in mental health.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23182,Mental Health Specialist AMU Acute Mental Health Unit ED,CPR certification,MATCH,CPR is often required for healthcare roles in acute care and emergency department settings.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23183,Mental Health Specialist AMU Mental Health Unit,CPR certification,MATCH,"CPR is often required for healthcare roles, including mental health specialists in clinical settings.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23185,Mental Health Specialist Adult Psych,CPR certification,MATCH,"CPR is often required for healthcare roles, including mental health, for patient safety and emergency response.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23188,Mental Health Specialist Epstein 5 Adult Psych,CPR certification,MATCH,"CPR is often required for healthcare roles involving direct patient care, including mental health settings.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23189,Mental Health Specialist Pedi,CPR certification,MATCH,"CPR is often required for healthcare roles, especially those involving children, for emergency preparedness.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23190,Mental Health Specialist Pedi Psych,CPR certification,MATCH,"CPR is often required for healthcare roles involving direct patient care, including pediatric mental health settings.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23191,Mental Health Specialist Psych,CPR certification,MATCH,"CPR is often required for healthcare roles, including mental health specialists, for patient safety.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23196,Mental Health Tech,CPR certification,MATCH,CPR certification is often required for Mental Health Techs due to direct patient interaction and potential emergencies.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23259,Mental Health Worker,CPR certification,MATCH,CPR is often required or beneficial for direct care roles like Mental Health Worker for emergency situations.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23260,Mental Health Worker,CPR certification,MATCH,CPR is often required or beneficial for direct care roles like Mental Health Worker for emergency situations.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23266,Mental Health Worker Senior Psych,CPR certification,MATCH,"CPR is often required for direct care roles, including mental health, to handle emergencies.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23268,Mental and Physical Health Mentor,CPR certification,MATCH,"CPR is relevant for a role involving physical health, as emergencies can occur.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
23291,Mercy ED Patient Observer Sitter,CPR certification,MATCH,CPR is often required for patient-facing roles in an Emergency Department (ED) setting for immediate response.,CPR certification,,8,Community & Recreation Services,Non-managerial
23295,Metal Fabrication Instructor,OSHA certification,MATCH,OSHA certification is highly relevant for safety in a metal fabrication teaching role.,OSHA certification,,0,Skilled Trades & Technicians,Non-managerial
23296,Metal Fabrication Joining Technologies Teacher,OSHA certification,MATCH,"OSHA certification is relevant for safety in metal fabrication and teaching environments, ensuring workplace safety knowledge.",OSHA certification,,2,Education Professionals,Non-managerial
23298,Metal Fabrication and Repair Welder,Welding certification,MATCH,Welding certification is directly relevant and often required for welders involved in fabrication and repair.,Welding certification,,0,Skilled Trades & Technicians,Non-managerial
23300,Metal Fabricator Welder,Welding certification,MATCH,Welding certification is directly relevant and often required for a Metal Fabricator Welder.,Welding certification,,0,Skilled Trades & Technicians,Non-managerial
23311,Mgr EH & S,Safety certification,MATCH,"EH&S (Environmental Health & Safety) roles inherently involve safety, making safety certifications highly relevant.",Safety certification,POSSIBLE MATCH,4,Construction and Facilities,Non-managerial
23342,Mid Level Architect Designer,LEED certification,MATCH,"LEED certification is highly relevant for architects focused on sustainable design, a common aspect of architectural roles.",LEED certification,,4,Construction and Facilities,Managerial
23343,Mid Level Architectural Designer,LEED certification,MATCH,LEED certification is highly relevant for Architectural Designers focusing on sustainable design.,LEED certification,,4,Construction and Facilities,Managerial
23346,Mid Level Construction Inspector,ACI certification,MATCH,"ACI certifications are relevant for construction inspectors, especially those dealing with concrete.",ACI certification,,4,Construction and Facilities,Non-managerial
23349,Mid Level Health and Safety Consultant,Fire Safety Certification,MATCH,"Fire safety is a core component of health and safety, making this certification relevant for the role.",Fire Safety Certification,,4,Construction and Facilities,Non-managerial
23365,Middle Board Certified Behavior Analyst,CPR certification,MATCH,CPR is often required for BCBAs working directly with clients for safety reasons.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23366,Middle Field Hockey Coach,CPR certification,MATCH,Coaches are often required to have CPR certification for safety and emergency preparedness.,CPR certification,,6,Athletics/Sports Staff,Non-managerial
23369,Middle High School String Orchestra Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23371,Middle History Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23372,Middle Market Risk Engineering Account Engineer,OSHA certification,MATCH,OSHA certification is relevant for risk engineering roles focusing on workplace safety and compliance.,OSHA certification,,4,Construction and Facilities,Non-managerial
23375,Middle Photography Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Teaching positions, especially in public schools, typically require licensure from the relevant authority (AHJ).",Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23376,Middle School Academic Support Reading Interventionist,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Educational roles like this typically require licensure from a governing authority, which this certification statement addresses.",Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23384,Middle School Cross Country Coach,CPR certification,MATCH,CPR certification is often required for coaches to handle medical emergencies with students.,CPR certification,,6,Athletics/Sports Staff,Non-managerial
23388,Middle School ELA Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Teaching positions like Middle School ELA Teacher typically require licensure mandated by the relevant authority (AHJ).,Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23389,Middle School ESL Teacher,CPR certification,MATCH,CPR is often required or highly recommended for teachers for student safety in schools.,CPR certification,,2,Education Professionals,Non-managerial
23396,Middle School French Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Teaching positions typically require licensure from the relevant authority.,Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23397,Middle School General Music Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23398,Middle School Health and Wellness Teacher,CPR certification,MATCH,"CPR certification is often required for teachers, especially in health and wellness, for student safety.",CPR certification,,2,Education Professionals,Non-managerial
23407,Middle School School Nurse,CPR certification,MATCH,CPR certification is essential for school nurses to respond to medical emergencies involving students or staff.,CPR certification,,9,Nursing & Healthcare,Non-managerial
23410,Middle School Science Teacher,CPR certification,MATCH,CPR certification is often required or highly recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23411,Middle School Science Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Teaching positions typically require licensure from the relevant authority (AHJ).,Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23417,Middle School Special Education Teacher,CPR certification,MATCH,"CPR certification is often required or highly recommended for teachers, especially in special education, for student safety.",CPR certification,,2,Education Professionals,Non-managerial
23419,Middle School Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety and emergency response.,CPR certification,,2,Education Professionals,Non-managerial
23431,Middle Writing Certified Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23437,Mig Welder,Welding certification,MATCH,"A Mig Welder performs welding, so a general welding certification is directly relevant and often required.",Welding certification,,0,Skilled Trades & Technicians,Non-managerial
23438,Mig Welder Fabrication,Welding certification,MATCH,Welding certification is directly relevant and often required for a Mig Welder Fabrication role.,Welding certification,,0,Skilled Trades & Technicians,Non-managerial
23441,Milieu Safety Specialist,CPR certification,MATCH,CPR is often a requirement or highly relevant for safety roles dealing with individuals in various environments.,CPR certification,,4,Construction and Facilities,Non-managerial
23446,Mind & Memory Care Director,CPR certification,MATCH,"CPR is often required for directors in healthcare, especially those overseeing vulnerable populations like memory care patients.",CPR certification,,7,Behavioral Health Specialists,Managerial
23447,Mind & Memory Care Director,CPR certification,MATCH,"CPR is often required for healthcare directors, especially in memory care settings involving vulnerable patients.",CPR certification,,7,Behavioral Health Specialists,Managerial
23448,Mind and Memory Care Director,CPR certification,MATCH,"CPR is often required for directors in healthcare, especially those overseeing vulnerable populations like memory care patients.",CPR certification,,7,Behavioral Health Specialists,Managerial
23449,Mind and Memory Care Director,CPR certification,MATCH,"CPR is often required for directors in healthcare, especially those overseeing vulnerable populations like memory care patients.",CPR certification,,7,Behavioral Health Specialists,Managerial
23450,Mind and Memory Director,CPR certification,MATCH,"CPR is often required in healthcare settings, especially those involving patient care or oversight.",CPR certification,,8,Community & Recreation Services,Managerial
23451,Mind and Memory Director,CPR certification,MATCH,"CPR is often required for roles involving patient care or in healthcare settings, which this title suggests.",CPR certification,,8,Community & Recreation Services,Managerial
23452,Mind and Memory Director,CPR certification,MATCH,"CPR is often required for roles involving patient care or oversight in healthcare settings, including memory care.",CPR certification,,8,Community & Recreation Services,Managerial
23453,Mind and Memory Director,CPR certification,MATCH,"CPR is often required for roles involving patient care or in healthcare settings, which this title suggests.",CPR certification,,8,Community & Recreation Services,Managerial
23454,Mind and Memory Director,CPR certification,MATCH,"CPR is often required for roles involving patient care or in healthcare settings, which this title suggests.",CPR certification,,8,Community & Recreation Services,Managerial
23481,Mobile Building Engineer,CFC certification,MATCH,"CFC certification is relevant for handling refrigerants in HVAC systems, common for building engineers.",CFC certification,NO MATCH,0,Skilled Trades & Technicians,Non-managerial
23487,Mobile Crisis Clinical Supervisor,CPR certification,MATCH,"CPR is often required for clinical roles involving direct client interaction, especially in crisis situations.",CPR certification,,7,Behavioral Health Specialists,Managerial
23488,Mobile Crisis Clinician,CPR certification,MATCH,CPR is often required for crisis clinicians who may encounter medical emergencies.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23489,Mobile Crisis Clinician level licensed,CPR certification,MATCH,CPR is often required for clinicians in crisis response roles due to potential medical emergencies.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23490,Mobile Crisis Coordinator,CPR certification,MATCH,CPR is often required for crisis responders who may encounter medical emergencies.,CPR certification,,7,Behavioral Health Specialists,Managerial
23491,Mobile Crisis Intervention Clinician,Master License,MATCH,"Role requires a master's-level professional license, fitting the 'Master License' description.",Master License,,7,Behavioral Health Specialists,Non-managerial
23492,Mobile Crisis Triage Clinician,CPR certification,MATCH,CPR is often required for clinicians in crisis response roles dealing with potential medical emergencies.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23501,Mobile HVAC Technician,HVAC certification,MATCH,HVAC certification is directly relevant and often required for HVAC technician roles.,HVAC certification,,0,Skilled Trades & Technicians,Non-managerial
23502,Mobile Health Unit CHW,CPR certification,MATCH,"CPR is often required for Community Health Workers, especially in mobile units providing direct health services.",CPR certification,,8,Community & Recreation Services,Non-managerial
23505,Mobile Nurse,CPR certification,MATCH,"CPR certification is a standard and essential qualification for nurses, including mobile nurses, for emergency response.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23506,Mobile Nurse,CPR certification,MATCH,"CPR certification is a standard and essential qualification for nurses, including mobile nurses, for emergency response.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23509,Mobile Phlebotomist,AED certification,MATCH,AED certification is relevant for healthcare professionals who may encounter medical emergencies during patient interaction.,AED certification,,3,Allied Health & Biomedical,Non-managerial
23510,Mobile Phlebotomist II,CPR certification,MATCH,CPR is often required for phlebotomists due to direct patient contact and potential medical emergencies.,CPR certification,,3,Allied Health & Biomedical,Non-managerial
23514,Mobility Aide,CPR certification,MATCH,"CPR certification is often required or highly recommended for roles involving direct patient or client care, like Mobility Aide.",CPR certification,,8,Community & Recreation Services,Non-managerial
23532,Mohs Surgical derm RN,CPR certification,MATCH,CPR is a common and often required certification for Registered Nurses in clinical and surgical settings.,CPR certification,,9,Nursing & Healthcare,Non-managerial
23541,Molecular Diagnostic Tech Sr Pathology,CPR certification,MATCH,"CPR is often required for healthcare professionals, including those in laboratory settings like pathology.",CPR certification,,3,Allied Health & Biomedical,Non-managerial
23551,Montessori Assistant Preschool Teacher,CPR certification,MATCH,CPR certification is commonly required for preschool teachers for child safety and emergency response.,CPR certification,,2,Education Professionals,Non-managerial
23552,Montessori Assistant Teacher Afterschool Assistant Teacher,CPR certification,MATCH,CPR certification is commonly required for roles involving childcare and direct supervision of children.,CPR certification,,2,Education Professionals,Non-managerial
23553,Montessori Curriculum Coordinator,CPR certification,MATCH,CPR is often required for roles involving children in educational settings for safety.,CPR certification,,2,Education Professionals,Managerial
23555,Montessori Middle School Teacher,CPR certification,MATCH,CPR certification is often required or highly recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23558,Montessori Toddler Guide Teacher,CPR certification,MATCH,CPR certification is often required for teachers working with toddlers due to safety and emergency preparedness.,CPR certification,,2,Education Professionals,Non-managerial
23560,Montessori Toddler Teacher,CPR certification,MATCH,CPR certification is often required for teachers working with young children for safety and emergency preparedness.,CPR certification,,2,Education Professionals,Non-managerial
23579,Mortgage QA Underwriter,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Mortgage underwriting is a regulated profession often requiring licensure by the relevant authority.,Licensure as required by Authority Having Jurisdiction (AHJ),,8,Community & Recreation Services,Non-managerial
23585,Motor Vehicle Lecturer,CFC certification,MATCH,"Relevant for teaching vehicle air conditioning systems and refrigerant handling, a key automotive topic.",CFC certification,,8,Community & Recreation Services,Non-managerial
23586,Mover Driver,OSHA 10 certification,MATCH,OSHA 10 provides general safety awareness relevant to physical labor and potential hazards in moving jobs.,OSHA 10 certification,,8,Community & Recreation Services,Non-managerial
23603,Multi - Skills Trades Painter Decorator,NCCER Certification,MATCH,"NCCER offers painting certifications, which are relevant for a Painter Decorator.",NCCER Certification,POSSIBLE MATCH,0,Skilled Trades & Technicians,Non-managerial
23604,Multi - Skills Trades Tiler,NCCER Certification,MATCH,"NCCER offers craft certifications, including for tiling, relevant to a Multi-Skills Trades Tiler.",NCCER Certification,POSSIBLE MATCH,0,Skilled Trades & Technicians,Non-managerial
23606,Multi Agency Public Safety Instructional Program Coordinator,CPR certification,MATCH,"CPR is a fundamental skill in public safety, relevant for an instructional program coordinator in this field.",CPR certification,,8,Community & Recreation Services,Managerial
23613,Multi Service SPA,CPR certification,MATCH,CPR is a relevant safety certification for roles within a multi-service spa due to client interaction and safety.,CPR certification,,8,Community & Recreation Services,Non-managerial
23614,Multi Skill Trades Painter Decorator Tiler,NCCER Certification,MATCH,"NCCER offers certifications for construction trades like painting, relevant to this multi-skilled role.",NCCER Certification,,0,Skilled Trades & Technicians,Non-managerial
23615,Multi Trade Operative,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Multi Trade Operatives often perform work in regulated trades requiring licensure by the relevant AHJ.,Licensure as required by Authority Having Jurisdiction (AHJ),,0,Skilled Trades & Technicians,Non-managerial
23619,Multifamily Construction Assistant Superintendent,OSHA certification,MATCH,OSHA certification is highly relevant for construction site management and safety roles.,OSHA certification,,4,Construction and Facilities,Non-managerial
23620,Multifamily Construction Project Manager,OSHA certification,MATCH,OSHA certification is highly relevant for safety oversight in construction project management.,OSHA certification,,4,Construction and Facilities,Managerial
23622,Multifamily Superintendent Affordable Housing,OSHA certification,MATCH,OSHA certification is highly relevant for construction superintendents focusing on site safety.,OSHA certification,,4,Construction and Facilities,Non-managerial
23623,Multifamily Superintendent Construction,OSHA certification,MATCH,OSHA certification is highly relevant for construction superintendents due to on-site safety responsibilities.,OSHA certification,,4,Construction and Facilities,Non-managerial
23624,Multifamily Superintendent Construction,OSHA certification,MATCH,"OSHA certification is highly relevant for construction superintendents, focusing on site safety.",OSHA certification,,4,Construction and Facilities,Non-managerial
23630,Multilingual Learner Academy Teacher,CPR certification,MATCH,CPR certification is often required or highly recommended for teachers for student safety.,CPR certification,,2,Education Professionals,Non-managerial
23636,Multilingual Learner Summer Academy Teacher,CPR certification,MATCH,"CPR is highly relevant and often required for teachers, ensuring student safety in educational settings.",CPR certification,,2,Education Professionals,Non-managerial
23656,Music Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Music Teachers, especially in public schools, often require state licensure or certification from the relevant authority.",Licensure as required by Authority Having Jurisdiction (AHJ),,2,Education Professionals,Non-managerial
23670,Music Therapist,CPR certification,MATCH,Music Therapists often work in healthcare settings where CPR is a common requirement for patient safety.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23676,NA CNA,CPR certification,MATCH,CPR certification is commonly required for Certified Nursing Assistants (CNAs) in healthcare settings.,CPR certification,NO MATCH,5,Certified Nursing Assistants,Non-managerial
23703,NICU PICU Clinical Specialist Respiratory Interventions,CPR certification,MATCH,CPR is a fundamental certification for clinical specialists in NICU/PICU dealing with respiratory interventions.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
23708,NICU UNIT COORDINATOR,CPR certification,MATCH,"CPR is often required for hospital staff, especially in critical care units like NICU.",CPR certification,MATCH,9,Nursing & Healthcare,Managerial
23715,NP,CPR certification,MATCH,CPR certification is commonly required for Nurse Practitioners (NP) as a basic life support skill.,CPR certification,,8,Community & Recreation Services,Non-managerial
23744,NP PA Vascular Surgery,First Aid certification,MATCH,"First Aid certification is relevant for healthcare professionals, including NPs/PAs, as a foundational medical skill.",First Aid certification,,1,Healthcare Professionals,Non-managerial
23761,NURSE DIRECTOR AMBULATORY SPECIALTIES,CPR certification,MATCH,"CPR is a fundamental certification for nursing roles, including directors, for patient safety and emergency response.",CPR certification,MATCH,9,Nursing & Healthcare,Managerial
23763,NURSE EDUCATOR,CPR certification,MATCH,"CPR is a fundamental and often required certification for nursing roles, including educators.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
23764,NURSE EDUCATOR CCI Oncology and Research,CPR certification,MATCH,"CPR is a fundamental certification for most nursing roles, including educators in clinical settings.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
23765,NURSE EDUCATOR Intermediate CV Surgical,CPR certification,MATCH,"CPR is a fundamental certification for nurses, especially those in clinical and educational roles like CV Surgical.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
23766,NURSE EDUCATOR Medicine Surgery Vascular,CPR certification,MATCH,"CPR is a fundamental certification for nursing professionals, including educators, especially in clinical specialties.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
23770,NURSE MANAGER HOME CARE,CPR certification,MATCH,"CPR is a fundamental certification for nursing roles, including managers, especially in home care.",CPR certification,MATCH,9,Nursing & Healthcare,Managerial
23778,NURSE RENAL PANCREAS TRANSPLANT COORDINATOR,CPR certification,MATCH,"CPR is a fundamental certification for virtually all nursing roles, including specialized ones like transplant coordination.",CPR certification,,9,Nursing & Healthcare,Managerial
23798,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23799,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23800,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23801,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23802,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23803,Nannies,First Aid certification,MATCH,First Aid is essential for nannies to handle child emergencies and ensure safety.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23804,Nanny,CPR certification,MATCH,CPR certification is highly relevant and often required for nannies to handle emergencies.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
23818,National Greenhouse Installation Manager,OSHA certification,MATCH,"OSHA certification is highly relevant for managing installations, ensuring workplace safety and compliance on site.",OSHA certification,,4,Construction and Facilities,Managerial
23819,National Installation Manager,OSHA certification,MATCH,Installation managers often require OSHA certification for overseeing workplace safety during installations.,OSHA certification,,4,Construction and Facilities,Managerial
23834,Nature Based Preschool Assistant Teacher,First Aid certification,MATCH,"First Aid is essential for roles involving childcare, especially in nature-based settings where risks might be higher.",First Aid certification,,2,Education Professionals,Non-managerial
23844,Neonatal Nurse Practitioner,CPR certification,MATCH,"CPR is a fundamental and often required certification for healthcare professionals, including Neonatal Nurse Practitioners.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
23846,Neonatologist,CPR certification,MATCH,"CPR is a fundamental and often required skill for medical professionals, including Neonatologists.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
23847,Neonatologist,CPR certification,MATCH,"CPR is a fundamental and often required skill for medical professionals, including Neonatologists.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
23852,Neonatology Physician,CPR certification,MATCH,"CPR is a fundamental life-saving skill often required for physicians, including neonatologists.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
23879,Network Engineer Senior Level,IAT Level II certification,MATCH,"IAT Level II certifications are relevant for Network Engineers, especially those involved in network security or government roles.",IAT Level II certification,,4,Construction and Facilities,Non-managerial
23895,Network Security Engineer,CISSP,MATCH,"CISSP is a highly relevant and recognized certification for Network Security Engineers, covering essential security domains.",CISSP,,4,Construction and Facilities,Non-managerial
23912,Neuro - Travel RN,CPR certification,MATCH,"CPR certification is a fundamental requirement for Registered Nurses, including specialized roles.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23916,Neuro Physical Therapist Outpatient,CPR certification,MATCH,CPR is a common and often required certification for physical therapists who provide direct patient care.,CPR certification,,7,Behavioral Health Specialists,Non-managerial
23918,Neuro RN,CPR certification,MATCH,"CPR is a fundamental and often required certification for all Registered Nurses, including Neuro RNs.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23922,Neurodevelopmental Evaluator,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Neurodevelopmental Evaluators typically require licensure by the relevant authority, making this a direct match.",Licensure as required by Authority Having Jurisdiction (AHJ),,7,Behavioral Health Specialists,Non-managerial
23925,Neurodiagnostic Tech III Lead,CPR certification,MATCH,"CPR is often required for healthcare professionals, especially those in lead roles with direct patient contact.",CPR certification,,3,Allied Health & Biomedical,Managerial
23940,Neurology MD,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Medical doctors, including neurologists, require licensure from the relevant authority to practice medicine.",Licensure as required by Authority Having Jurisdiction (AHJ),,1,Healthcare Professionals,Non-managerial
23946,Neurology Physician,CPR certification,MATCH,"CPR certification is a fundamental and often required skill for all physicians, including neurologists.",CPR certification,,1,Healthcare Professionals,Non-managerial
23948,Neuromonitoring Specialist ENTRY LEVEL,CPR certification,MATCH,CPR is often required for healthcare roles involving direct patient contact or presence in clinical settings.,CPR certification,,3,Allied Health & Biomedical,Non-managerial
23967,Neuroscience Intermediate Staff Nurse,CPR certification,MATCH,"CPR certification is commonly required for nursing staff, including those in specialized neuroscience units.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23968,Neurosciences Registered Nurse,CPR certification,MATCH,"CPR certification is a standard requirement for Registered Nurses, including those in neurosciences.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23977,New Grad Dental Hygienist,AED certification,MATCH,"AED certification is often required for healthcare professionals, including dental hygienists, for emergency preparedness.",AED certification,,3,Allied Health & Biomedical,Non-managerial
23981,New Grad Nurse Medicine,CPR certification,MATCH,"CPR certification is a standard and often required certification for nurses in all fields, including medicine.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23982,New Grad Nurse Resident,CPR certification,MATCH,"CPR certification is a standard requirement for nursing roles, including new graduates.",CPR certification,,9,Nursing & Healthcare,Managerial
23983,New Grad RN,CPR certification,MATCH,"CPR certification is a standard and often required qualification for Registered Nurses, including new graduates.",CPR certification,,9,Nursing & Healthcare,Non-managerial
23988,New Grad RN Maternal Services,CPR certification,MATCH,CPR is a fundamental and often required certification for Registered Nurses in maternal services.,CPR certification,,9,Nursing & Healthcare,Non-managerial
23991,New Grad RN Residency Program Maternal Services,CPR certification,MATCH,"CPR is a standard and often required certification for Registered Nurses in clinical roles, including maternal services.",CPR certification,,9,Nursing & Healthcare,Non-managerial
24001,New Graduate Nurse Resident BMC,CPR certification,MATCH,"CPR certification is a standard and often mandatory requirement for nursing roles, including new graduates.",CPR certification,,9,Nursing & Healthcare,Non-managerial
24003,New Graduate RN Maternity,CPR certification,MATCH,"CPR certification is a standard and often required skill for Registered Nurses in all specializations, including maternity.",CPR certification,,9,Nursing & Healthcare,Non-managerial
24004,New Graduate RN Residency,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"RN roles, including residencies, require state licensure as a Registered Nurse.",Licensure as required by Authority Having Jurisdiction (AHJ),,9,Nursing & Healthcare,Non-managerial
24005,New Graduate RN Residency A,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Registered Nurses (RNs) require licensure to practice, which is what this certification refers to for this role.",Licensure as required by Authority Having Jurisdiction (AHJ),,9,Nursing & Healthcare,Non-managerial
24009,New Graduate RN Residency Medical Surgical,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Registered Nurse (RN) positions require state licensure, which is what AHJ licensure implies for this role.",Licensure as required by Authority Having Jurisdiction (AHJ),,9,Nursing & Healthcare,Non-managerial
24011,New Graduate RN Residency Surgical Step Down,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Registered Nurse (RN) positions require state licensure, which is what AHJ licensure implies for this role.",Licensure as required by Authority Having Jurisdiction (AHJ),,9,Nursing & Healthcare,Non-managerial
24015,New Graduate Registered Nurse Department of Medicine,CPR certification,MATCH,CPR certification is a standard and often required qualification for Registered Nurses in clinical settings.,CPR certification,,9,Nursing & Healthcare,Non-managerial
24017,New Graduate Registered Nurse RN,CPR certification,MATCH,CPR certification is a standard and often required qualification for Registered Nurses.,CPR certification,,9,Nursing & Healthcare,Non-managerial
24023,Newborn Care Specialist,CPR certification,MATCH,"CPR is essential for newborn care, often required for emergencies involving infants.",CPR certification,,7,Behavioral Health Specialists,Non-managerial
24036,Ninja Coach,AED certification,MATCH,AED certification is relevant for coaches due to potential medical emergencies during physical activities.,AED certification,NO MATCH,8,Community & Recreation Services,Non-managerial
24037,Nocturnist,CPR certification,MATCH,CPR certification is typically required for physicians like Nocturnists working in hospital settings.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
24039,Nocturnist Emergency Physician,CPR certification,MATCH,CPR is a fundamental and expected skill for any Emergency Physician.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
24048,Non Certified Nursing Assistant,CPR certification,MATCH,"CPR is a fundamental skill for healthcare roles, including non-certified nursing assistants, for patient safety.",CPR certification,,5,Certified Nursing Assistants,Non-managerial
24049,Non Certified Nursing Assistant,CPR certification,MATCH,"CPR is a fundamental skill for patient-facing roles, even if not certified as a nursing assistant.",CPR certification,,5,Certified Nursing Assistants,Non-managerial
24050,Non Certified Nursing Assistant,CPR certification,MATCH,"CPR is a fundamental skill for patient-facing roles, even if not certified as a nursing assistant.",CPR certification,,5,Certified Nursing Assistants,Non-managerial
24051,Non Certified Nursing Assistant,CPR certification,MATCH,"CPR is often required or beneficial for patient-facing healthcare roles, including nursing assistants.",CPR certification,,5,Certified Nursing Assistants,Non-managerial
